gid,sac,sa,type,geom
254,361384,ESTNMNXE,HCPM-GNIS,0101000000CC86EB07AB7957C09293895B05E24540
255,361391,FETNMNXF,HCPM-GNIS,0101000000539044D4692058C0C326D7B90E8A4740
256,361358,WLLSMNXW,HCPM-GNIS,01010000007009C03FA56E57C02A5437177FDF4540
257,361440,BRCLMNXB,HCPM-GNIS,010100000063C1B3F3EC7357C0350A4966F5C74540
258,421914,BETHMOXA,HCPM-GNIS,010100000042E4993C8A0157C066D828EB37F04340
259,421914,GNTPMOXA,HCPM-GNIS,01010000002290A6D56B2457C035046CAC692C4440
260,421931,MRTWMOXA,HCPM-GNIS,0101000000CB36267A4F3157C0F9B2FEE08D344440
261,421931,MMPHMOXA,HCPM-GNIS,01010000006A036674F60A57C01D1C9194993A4440
262,421914,NWRKMOXA,HCPM-GNIS,0101000000E9E797D244FE56C026A199CC1DFF4340
263,421914,NVLTMOXA,HCPM-GNIS,0101000000FF51E5C5530D57C0C3B6EADF9A014440
264,421931,NVNGMOXA,HCPM-GNIS,0101000000F04C6892582D57C0E1C7E248B11D4440
265,421931,QNCYMOXA,HCPM-GNIS,0101000000B10D260F552457C03451DF8D60344440
266,421901,RHLDMOXA,HCPM-GNIS,0101000000F1D58EE21CE156C032F7DA7DD85B4340
267,421901,TBTSMOXA,HCPM-GNIS,01010000001706D1FF97FD56C0CD823FB26F4F4340
268,421914,WYCNMOXA,HCPM-GNIS,01010000009EE4B3E155FB56C0BBE35EAAE3314440
269,421901,WLBGMOXA,HCPM-GNIS,01010000005B2E7656E6EC56C05CB5C6FBCC754340
270,421931,ARBLMOXA,HCPM-GNIS,0101000000B4AB90F2130157C098DEFE5C343B4440
271,421914,KNCYMOXA,HCPM-GNIS,0101000000E1BEC40E990057C092C3712A63124440
272,421931,LMNSMOXA,HCPM-GNIS,0101000000FB969416094357C0DBCB6C46BC334440
273,421914,LNRDMOXA,HCPM-GNIS,01010000003F19E3C36C0B57C0EC5E3821BEF24340
274,421931,LURYMOXA,HCPM-GNIS,0101000000F058220670F856C01E053EF5FE394440
275,421874,GRWDMOXA,HCPM-GNIS,010100000006E22B7068BA56C0DBAD1BA501884240
276,421931,UNVLMOXA,HCPM-GNIS,01010000007FF5B86F354057C0823D810B0D3D4440
277,421931,TBCKMOXA,HCPM-GNIS,0101000000F0C2D66CE50D57C08E9A0A4C022F4440
278,421931,OMAHMOXA,HCPM-GNIS,0101000000DF09078C3F3357C00877C2A629444440
279,421901,MOKNMOXA,HCPM-GNIS,0101000000F41ABB44F5F756C06C370BC567564340
280,280457,GLALMSXA,HCPM-GNIS,0101000000215C5C3EEDC156C0E4D6A4DB12834040
281,482248,DEVNMTXC,HCPM-GNIS,01010000000D22AD8CA1DE5BC0A0CD6042BB3B4840
282,482248,ETRGMTXC,HCPM-GNIS,0101000000434761CDB7075CC0A3FA18BD64474840
283,482254,GRNTMTXC,HCPM-GNIS,0101000000E0A2EE5E49445CC00C72BCA717814640
284,482248,NCBNMTXC,HCPM-GNIS,0101000000E50AEF72911D5CC0576D48ED8F514840
285,482257,SMLTMTXC,HCPM-GNIS,0101000000247D5A457F0A5BC097D17E5AFB0B4840
286,482254,JCSNMTXC,HCPM-GNIS,0101000000BAB99D222C5A5CC0708D19F219AF4640
287,482255,NHRTMTXC,HCPM-GNIS,01010000000E1A55E1AAB55BC0B4ED0FEF948C4740
288,482251,MLCYMTXC,HCPM-GNIS,0101000000E3AA0DA9FD715AC0CA76741200184740
289,381610,BWDNNDXA,HCPM-GNIS,0101000000A219D5334EED58C05BDC35D71FBC4740
290,381630,BRCKNDXA,HCPM-GNIS,010100000091E2D2E7D99658C08F9C9669451B4840
291,381610,CRTYNDXA,HCPM-GNIS,01010000008545A05541A458C0AE916E95719C4740
292,381611,CRETNDXA,HCPM-GNIS,01010000002B4190CD9F7D58C0071DBE96A1194740
293,381610,EDMNNDXA,HCPM-GNIS,0101000000ACC4E171F6BD58C06A7A9ADDA49F4740
294,381611,FRBSNDXA,HCPM-GNIS,0101000000293A37120DB258C0C4C02962C7F84640
295,381611,FRMNNDXA,HCPM-GNIS,0101000000F3F63130BC6858C0C2B4B97BCA0D4740
296,381611,FTRNNDXA,HCPM-GNIS,0101000000BE480D12477B58C0B58F70B5A9424740
297,381611,FRDNNDXA,HCPM-GNIS,010100000037D8405F1FC658C0773C1C13182A4740
298,381611,FUTNNDXA,HCPM-GNIS,01010000005E9C9DB1549B58C063E2A0CE26154740
299,381610,GCKLNDXA,HCPM-GNIS,0101000000D070146A17C958C0CF7BAD951A504740
300,381610,GRCYNDXA,HCPM-GNIS,010100000006AFA7678BB358C0DEFC2BD093C64740
301,381611,GLPHNDXA,HCPM-GNIS,0101000000FFBDCA90198F58C0CA7E2777E9024740
302,381611,GWNRNDBC,HCPM-GNIS,0101000000AD3DA2F8676A58C06607A6E4E61C4740
303,381447,HMPDNDXA,HCPM-GNIS,0101000000C3256CE4DFA958C0E6023C0E28454840
304,381604,HZTNNDXA,HCPM-GNIS,0101000000EA364D44E41159C0C57AFE0F0B3E4740
305,381604,KNTYNDXA,HCPM-GNIS,01010000001E577E74C5FC58C0DC73AAC65C464740
306,381611,LSBNNDBC,HCPM-GNIS,0101000000296E26F0986B58C0F064DC7987384740
307,381611,LTVLNDXA,HCPM-GNIS,010100000098B734C86E8C58C0CDBDD1D8A8534740
308,381610,MEDNNDXA,HCPM-GNIS,0101000000E7CF6D7830D358C0CAD7AF856A724740
309,381611,MRCTNDXA,HCPM-GNIS,0101000000AE96E079CEB058C0B428A215CE1A4740
310,381604,NPLNNDXA,HCPM-GNIS,010100000066A208A95BF158C098CF036910414740
311,381611,OAKENDXA,HCPM-GNIS,0101000000DBCEADC6C88558C00A3664F2BC114740
312,381604,PTTBNDXA,HCPM-GNIS,0101000000FD7B3A6840E158C02C45F295408F4740
313,381604,REGNNDXA,HCPM-GNIS,0101000000F65FE7A6CD2159C0831376F63A944740
314,381604,STNGNDXA,HCPM-GNIS,01010000008CD1DFF0A71259C01E3757282D684740
315,381610,STRTNDXA,HCPM-GNIS,01010000007A9400EBA7D658C0CFBC1C76DF534740
316,381610,SYKSNDXA,HCPM-GNIS,01010000003E50B86892D958C03318231285BB4740
317,381604,TAPPNDXA,HCPM-GNIS,01010000002FE1D05BBCE858C0A13F7E80FF6F4740
318,381604,TUTLNDXA,HCPM-GNIS,010100000063CB97BCA6FF58C03F9D3C7661924740
319,381610,WNDSNDXA,HCPM-GNIS,01010000002DD8FCAEBEC258C06AB46675BC724740
320,381604,WINGNDXA,HCPM-GNIS,0101000000D141F229DB1159C0627F7E8406924740
321,381610,WDWONDXA,HCPM-GNIS,01010000004E0AF31E67D358C0CFEC04453D924740
322,381610,YPSLNDXA,HCPM-GNIS,0101000000EF6F75A50AA458C01EE3E54416644740
323,381604,ZELDNDXA,HCPM-GNIS,0101000000850BD4BD29F558C08051387128FC4640
324,381611,DCKYNDXA,HCPM-GNIS,01010000008A2EB99BF19D58C07D87ECCDB9444740
325,381611,EDGLNDXA,HCPM-GNIS,0101000000144B8050CDAD58C05D216239F82D4740
326,381611,JUD NDXA,HCPM-GNIS,0101000000FFB3418152B958C003345BC356434740
327,381611,KULMNDXA,HCPM-GNIS,010100000000D358B1AEBC58C082188D21A5264740
328,381611,LAMRNDXA,HCPM-GNIS,01010000002B908FCCD99258C060747973B82D4740
329,381611,MARNNDXA,HCPM-GNIS,010100000095BB2AAB449558C0720D7DC1B84D4740
330,381611,VRNANDXA,HCPM-GNIS,01010000001F903AF0A08458C002356BDF922E4740
331,381607,AMDNNDXA,HCPM-GNIS,01010000000B557B2299D459C0E8C715CDB93D4740
332,381611,MLNRNDXA,HCPM-GNIS,01010000004057B66A325D58C0023E89192B214740
333,381604,WLTONDXA,HCPM-GNIS,01010000002901D64F243259C050C2F1214D944740
334,371532,ANSMNEXS,HCPM-GNIS,010100000071FF36305EF758C0EEAC82BD2ECF4440
335,371532,ARTHNEXS,HCPM-GNIS,0101000000BA83D899426C59C02BD1A3F32BC94440
336,371532,BNHMNEXS,HCPM-GNIS,010100000032C5C14AAA8559C02D173B2BB3024540
337,371532,BRWSNEXS,HCPM-GNIS,0101000000EAA001AB59F758C0A143858F2DF84440
338,371532,BRWNNEXS,HCPM-GNIS,010100000089319F620B2859C0ED79A3FBDE244540
339,371553,CMPBNEXM,HCPM-GNIS,0101000000E428E55AD9AE58C0B2EABD4230264440
340,371532,DNNGNEXS,HCPM-GNIS,01010000007099D365B10659C04B4C61EF0FEA4440
341,371562,ESTSNEXS,HCPM-GNIS,01010000004A9BAA7BE40159C02C312A04CD544440
342,371553,LWRNNEXM,HCPM-GNIS,010100000058F89FA1A49058C08E2C4FD65E254440
343,371537,LDGPNEXS,HCPM-GNIS,0101000000E3F3D434B9A859C00877C2A629934440
344,371553,NRMNNEXM,HCPM-GNIS,0101000000CD4DE5FEB4B258C09B17CC04683D4440
345,371532,PRDMNEXS,HCPM-GNIS,01010000005AC7A7B68A1059C04DDE5BEC51084540
346,371553,RSLDNEXM,HCPM-GNIS,0101000000F2385673CAA358C02E48E988323C4440
347,371532,SENCNEXS,HCPM-GNIS,01010000004FBCB9AE4E3559C02AB39CDF8B054540
348,371553,UPLDNEXM,HCPM-GNIS,0101000000D13DEB1AADB958C05219B5B1C8284440
349,371532,WHMNNEXS,HCPM-GNIS,01010000003D3EC6817C6159C09A7EE4315E054540
350,371532,HLSYNEXS,HCPM-GNIS,0101000000DEF41DB2371159C00DB21B6CA0F34440
351,120042,DXNTNHXA,HCPM-GNIS,0101000000EA79371694D351C02D9A2908796F4640
352,492259,MXWLNMXC,HCPM-GNIS,0101000000BFAA69CDC5225AC09065C1C41F454240
353,492176,CLMBNMXC,HCPM-GNIS,01010000002D663A2AEDFC5AC0809A5AB6D6D93F40
354,492066,QUENNMXC,HCPM-GNIS,0101000000E232B8F7BA2F5AC0D2F7BFC870184040
355,492066,TMBRNMXC,HCPM-GNIS,0101000000E62CA2DC6C6C5AC09E071CAE7A4F4040
356,552284,MRVRNVXA,HCPM-GNIS,0101000000B8AF03E78CCD5CC05A48C0E8F2C84440
357,432018,ALINOKXA,HCPM-GNIS,01010000003B6178DBBB9C58C0A47B8CA83F414240
358,432018,AMESOKXA,HCPM-GNIS,0101000000F49E6FB0DC8B58C0EC4E779E781F4240
359,432018,ARNTOKXA,HCPM-GNIS,0101000000D6EBCCF396F158C0A58A3D0F49114240
360,432018,BLNCOKXA,HCPM-GNIS,0101000000740D33341E6A58C029B91EE0A4914140
361,432018,BRDLOKXA,HCPM-GNIS,0101000000CE7F59EB556D58C09C1D047866704140
362,431788,BRMNOKXA,HCPM-GNIS,0101000000FB08579B5A5558C0D6A13FD939764240
363,432018,BFLOOKXA,HCPM-GNIS,01010000005C5F7F6D58E858C0A73BF482F46A4240
364,432018,CALMOKXA,HCPM-GNIS,01010000005F28603B988758C0A7131AD2F2CC4140
365,431988,CMRGOKXA,HCPM-GNIS,0101000000B789496E83D258C01428BDCA35024240
366,432018,CNTNOKXA,HCPM-GNIS,010100000050FBAD9DA8A558C07DF20B0ADE064240
367,432018,CRMNOKXA,HCPM-GNIS,01010000000CBD0F51969D58C0993AD9171A4A4240
368,432018,CRTROKXA,HCPM-GNIS,01010000008F3523835CE058C0DFA06241069C4140
369,432018,CHTGOKXB,HCPM-GNIS,0101000000C998165003AA58C09C27E84020364140
370,432018,CHESOKXA,HCPM-GNIS,0101000000551E937BF0BA58C068B922E7B31B4240
371,432018,CMNCOKXA,HCPM-GNIS,010100000017F549EEB07D58C02986F5903A2F4140
372,432018,CVTNOKXA,HCPM-GNIS,010100000043499231886558C0476C1C565D274240
373,432018,CRSCOKXA,HCPM-GNIS,0101000000390CE6AF106658C0E643ABEEECF94140
374,432018,CSTROKXA,HCPM-GNIS,0101000000C22E2F6585B858C0FB5D335420D54140
375,432018,DACMOKXA,HCPM-GNIS,0101000000900B186E0AA458C0EE3D01B969544240
376,432018,DRCKOKXA,HCPM-GNIS,0101000000BC61365C3F6158C0CFC6A58526674240
377,432018,DBBLOKXA,HCPM-GNIS,0101000000A8D9A8F34D6858C053509B8246844140
378,432018,DGLSOKXA,HCPM-GNIS,0101000000167A0E76D46A58C060CEC7105B214240
379,432018,DOVROKXA,HCPM-GNIS,01010000007DAD4B8D507A58C0DEEBFF779FFD4140
380,432018,DRMDOKXA,HCPM-GNIS,0101000000EB44381C4C8258C0A94A00A370264240
381,431988,ERCKOKXA,HCPM-GNIS,0101000000AD6EF59C74F758C0EC2C1FEE8F9B4140
382,432018,FARGOKXA,HCPM-GNIS,0101000000584AE020EBE758C0523530A825304240
383,432018,FAY OKXA,HCPM-GNIS,0101000000CF36925F1AAA58C07A5D75D31CE84140
384,432018,FTSPOKXA,HCPM-GNIS,01010000003C331C2AA1E458C098BD6C3B6D494240
385,432018,FRDROKXA,HCPM-GNIS,01010000004E5C339E2DC158C000D6F4EA2D324140
386,432018,FRDMOKXA,HCPM-GNIS,010100000024FA6B6839C758C0169DD1FB6B624240
387,432018,GAGEOKXA,HCPM-GNIS,0101000000193735D07CF058C07F66B56565284240
388,432018,GRBROKXA,HCPM-GNIS,010100000050F7A68E7A6558C0A4062EEAEE374240
389,432018,GERYOKXA,HCPM-GNIS,0101000000E41F6C674E9458C010C8CAD4C9D04140
390,431788,GLTROKXA,HCPM-GNIS,01010000007FAD0100B68958C0680932022A444240
391,432018,GOLDOKXA,HCPM-GNIS,0101000000E3DAF5775BF158C0163BD0F9DF554140
392,432018,HRMNOKXA,HCPM-GNIS,0101000000C4002E6DDDE358C055CE28A787124240
393,432018,HSNGOKXA,HCPM-GNIS,01010000001E5036E50A8758C0748E4B66061D4140
394,432018,HLNAOKXA,HCPM-GNIS,01010000001CA732D6489158C066773705E8454240
395,432018,HNSYOKXA,HCPM-GNIS,0101000000999EB0C4837958C050C9946AFA0D4240
396,432018,HLLSOKXA,HCPM-GNIS,01010000007C1D82F45EFA58C0445E20521D584140
397,432018,HPTNOKXA,HCPM-GNIS,0101000000B513CA679EAA58C03E64254113584240
398,432018,HNTROKXA,HCPM-GNIS,0101000000D1949D7E506A58C0704EDB7525484240
399,431788,JET OKXA,HCPM-GNIS,0101000000D6CE8B6E988B58C0A840C12044554240
400,432018,KGFSOKXA,HCPM-GNIS,01010000003C612E4EA17B58C02BDD5D6743EE4140
401,432018,LAHMOKXA,HCPM-GNIS,010100000009E8740FBF8558C0F20C75B39A314240
402,432018,LAMTOKXA,HCPM-GNIS,0101000000F19073AC9C6358C07905A22765584240
403,431988,LEDYOKXA,HCPM-GNIS,0101000000ED2DE57C31D658C0BE405AAD5DEF4140
404,432018,LOCOOKXA,HCPM-GNIS,01010000005F9E29CF976B58C01DC64906252A4140
405,432018,LGDLOKXA,HCPM-GNIS,0101000000B71D64A33DA358C08B1B125212114240
406,432018,LOYLOKXA,HCPM-GNIS,010100000046ADD5C3BC8758C07E4056A64EFC4140
407,432018,MANTOKXA,HCPM-GNIS,010100000050A6762BF0BE58C0E6D65A4EF8404140
408,432018,MRSHOKXA,HCPM-GNIS,0101000000BFEE74E7096858C080FBF0E2B3134240
409,432018,MAY OKXA,HCPM-GNIS,01010000000A592778D4EF58C07BAA9E27F94E4240
410,432018,MENOOKXA,HCPM-GNIS,010100000075B0FECF618B58C09EC25B316D314240
411,432018,MRLDOKXA,HCPM-GNIS,010100000004BAE5D91BCD58C0A266A3CE37384240
412,432018,NASHOKXA,HCPM-GNIS,0101000000782975C9388358C0E9013D1E44554240
413,432018,NWCSOKXA,HCPM-GNIS,0101000000BC5CC477626658C0571DDE18A79F4140
414,432018,OKWDOKXA,HCPM-GNIS,01010000007896202320AD58C0A8EAD44B42F74140
415,432018,OKRCOKXA,HCPM-GNIS,010100000019BECF027E7E58C01DAB949EE9DC4140
416,432018,OKENOKXA,HCPM-GNIS,0101000000B6F292FF499458C077BF0AF0DD0E4240
417,432018,ORLAOKXA,HCPM-GNIS,0101000000B62BF4C1325858C0936EF02A10134240
418,432018,PDCKOKXA,HCPM-GNIS,01010000007D8A2D4E467358C068CA4E3FA8554240
419,432018,PTNMOKXA,HCPM-GNIS,010100000038E3EAB6FABD58C0F8753B5684ED4140
420,432018,QNLNOKXA,HCPM-GNIS,010100000054820F6FE7C258C0D15790662C3A4240
421,432018,RNWDOKXA,HCPM-GNIS,01010000005D6A29C5B38F58C0C145DDBD92304240
422,432018,SLNGOKXA,HCPM-GNIS,0101000000ECDCB41927BB58C0D016C6CCF4124240
423,432018,SLMNOKXA,HCPM-GNIS,0101000000DB8420AC6BDF58C07B979C24A7664240
424,432018,SNTNOKXA,HCPM-GNIS,01010000005A27D30D39CB58C0AA6395D233944140
425,432018,SHTCOKXA,HCPM-GNIS,0101000000DE6B521B66F858C090EDC6CC4F234240
426,431988,SWTWOKXA,HCPM-GNIS,0101000000B0389CF955FA58C04781F4030DB64140
427,431988,TALGOKXA,HCPM-GNIS,0101000000A71A6261ADBD58C060F18A96F2044240
428,432018,TMPLOKXA,HCPM-GNIS,0101000000ED5575A0188F58C00C34E900D2224140
429,432018,THMSOKXA,HCPM-GNIS,0101000000D3C08F6AD8AF58C0BA55C67542DF4140
430,432018,TPTNOKXA,HCPM-GNIS,010100000045E2D4BD04C958C07D51CC8B5D404140
431,432018,WAKTOKXA,HCPM-GNIS,0101000000ACB3B519027B58C0D98A47F311714240
432,432018,WTNGOKXA,HCPM-GNIS,0101000000F6436CB0709A58C06CE5CA4521EC4140
433,432018,WYNKOKXB,HCPM-GNIS,0101000000FB027AE14EB858C06DB4D25A874A4240
434,432016,GRGSOKXA,HCPM-GNIS,01010000007E46D8A6E79759C0A9D3CB39C24E4240
435,431988,RGMLOKXA,HCPM-GNIS,01010000000D73DDEF2BF358C025CD1FD3DAE94140
436,431988,RYDNOKXA,HCPM-GNIS,0101000000FA9D81ECD0FA58C0BA601514ABD34140
437,432018,CLSPOKXA,HCPM-GNIS,01010000008143A852339C58C093567C43E1334240
438,532371,ASVYORXA,HCPM-GNIS,0101000000BEBD6BD097F45EC05768D608B3C64540
439,532371,RPBKORXX,HCPM-GNIS,0101000000534DFF48C7825EC00D44053D8A8A4640
440,532393,HRTNORXX,HCPM-GNIS,0101000000552D8E6F94DF5EC0AD20BC2CDC1A4640
441,532393,DDWDORXX,HCPM-GNIS,0101000000D79F692EDCF05EC00F046D173F0C4640
442,532392,OXBWORXA,HCPM-GNIS,0101000000D6427F573A375DC0FE486CD2C87C4640
443,240550,CLHLSCXA,HCPM-GNIS,01010000005A345310F28D54C0423CB775DCDA4040
444,240550,MTCRSCXA,HCPM-GNIS,01010000002A06A3ED73A054C0D2B2A492F0004140
445,240550,PLBHSCXA,HCPM-GNIS,0101000000C5FF1D51A19054C05971056FA3EC4040
446,240531,HTSPSCXA,HCPM-GNIS,0101000000ADF71BED382B54C06864462EEE4B4140
447,240550,IVA SCXA,HCPM-GNIS,0101000000BB7CEBC37AAA54C07C6AAB483B274140
448,240550,DWSTSCXA,HCPM-GNIS,01010000006403E962D39854C0EE395563AE2A4140
449,240550,STRRSCXA,HCPM-GNIS,0101000000C12B932B86AC54C0B436323443304140
450,391670,ACDMSDXA,HCPM-GNIS,010100000016B2A9A91BC558C06426ACE86ABA4540
451,391680,BLNTSDXA,HCPM-GNIS,0101000000433D7D047EFF58C06FAF16E98F414640
452,391680,BWDLSDXA,HCPM-GNIS,01010000002557563FDBE958C0492EFF21FDB94640
453,391686,BURKSDXA,HCPM-GNIS,0101000000D51CC5DEB0D258C0664348275C974540
454,391647,DUPRSDXB,HCPM-GNIS,01010000001990BDDEFD5F59C0BD35B055824D4640
455,391688,CRSBSDXA,HCPM-GNIS,01010000009E8A6544B3BC58C07997E6B1C1954640
456,391659,ENNGSDXA,HCPM-GNIS,0101000000E2D528DA0BA459C0F073D76DAB494640
457,391670,FTTHSDXA,HCPM-GNIS,0101000000031B214D06DC58C088BCE5EAC7084640
458,391680,GTBGSDXA,HCPM-GNIS,0101000000506B3FBE29FD58C0AE0A79A97D814640
459,391686,GRGRSDXA,HCPM-GNIS,0101000000A78F65668BDB58C0C5F13279B99D4540
460,391680,HRLDSDXA,HCPM-GNIS,0101000000D17D946C50EF58C0E94E667220434640
461,391659,HAYSSDXA,HCPM-GNIS,0101000000E6B397C8604159C0020352AC642F4640
462,391680,LNFRSDXA,HCPM-GNIS,01010000004012F6ED247558C0B67526231DCD4640
463,381607,LADDNDXA,HCPM-GNIS,0101000000E1A41FC319D859C05B67D718CFEA4640
464,391659,MRNESDXA,HCPM-GNIS,01010000002011AEDBFBA559C02AF23515F3824640
465,391686,MSSNSDXA,HCPM-GNIS,0101000000439A67DB1F2A59C0E7F406A925A74540
466,391670,NHLDSDXA,HCPM-GNIS,01010000004E475BF0FDA658C041F0F8F6AEB64540
467,391670,PKWNSDXA,HCPM-GNIS,010100000050AD19749DCB58C059CAE83697E34540
468,391686,RLNCSDXA,HCPM-GNIS,0101000000ED66463F9AE658C0B309302C7FF04540
469,391680,ROSCSDXA,HCPM-GNIS,0101000000892FC9B7ADD558C0CFF00B546BB94640
470,391686,RSBDSDXA,HCPM-GNIS,0101000000F616C5619F3659C0CD8A4DD0CB9D4540
471,391680,SLBYSDXA,HCPM-GNIS,0101000000B2344B5D0D0259C0A1B14005D1C04640
472,391686,VIVNSDXA,HCPM-GNIS,010100000034DD465EB11259C0930DB5B7A5F64540
473,391659,WASTSDXA,HCPM-GNIS,010100000074EA6FAE869C59C094C6C3D6C7084640
474,391680,WSSPSDXA,HCPM-GNIS,010100000042791F4773A458C084DFE1D1210A4640
475,391670,WHLKSDXA,HCPM-GNIS,01010000005A0AED41ADAD58C003D3C49679DD4540
476,391659,WKVLSDXA,HCPM-GNIS,0101000000DF6A42FFA9A559C0D91BC6EE4C0C4640
477,391686,CLFDSDXA,HCPM-GNIS,01010000000EA2B5A2CD0159C035199F138C954540
478,391659,CGTNSDXA,HCPM-GNIS,0101000000BA2AF5D14E8D59C04D39155FA3204640
479,391676,PRTNSDXA,HCPM-GNIS,010100000078FD3850968D58C0F830202004BC4540
480,391680,ONIDSDXB,HCPM-GNIS,01010000005E74C300531959C02A5D555117534640
481,391659,ARMRSDXA,HCPM-GNIS,0101000000FF58880E01EA59C043D0871D7C824540
482,391659,OLRCSDXA,HCPM-GNIS,0101000000A1DC11A9C4CE59C0EA33B10AE5964540
483,391670,GNVYSDXA,HCPM-GNIS,01010000005A83F75539BF58C08ACBF10A44044640
484,391659,ORALSDXA,HCPM-GNIS,01010000000DD242B838D159C015FE0C6FD6B34540
485,391680,REHGSDXA,HCPM-GNIS,0101000000904F2388CECC58C04574194861424640
486,391680,SENCSDXA,HCPM-GNIS,0101000000A1078893C5E058C0CD7C62F8E3874640
487,391657,OLHMSDXA,HCPM-GNIS,010100000055C7855EDA4D58C064C9C111490F4640
488,391680,WSTNSDXA,HCPM-GNIS,010100000033DFC14F9CAC58C0D17C2997213A4640
489,391686,WTTNSDXA,HCPM-GNIS,0101000000A64D8BB0170559C08C39BEAC3FB84540
490,290579,CRFRTNXA,HCPM-GNIS,01010000004BE9995E624955C09445065ED2214240
491,290573,BTHPTNXA,HCPM-GNIS,01010000006A5F8ABCF69355C0624F96B5A83D4240
492,290579,BYTWTNXA,HCPM-GNIS,010100000057B3CEF83E4855C01F9B898E89494240
493,290579,CELNTNXA,HCPM-GNIS,0101000000BC5983F7556055C0A1A6F16668464240
494,290579,CHMNTNXA,HCPM-GNIS,01010000006872D64CE37455C0C939B187F6194240
495,290581,FLCKTNXA,HCPM-GNIS,0101000000C5E57805229A55C0260EEA6C12B24140
496,290562,GOVLTNXA,HCPM-GNIS,01010000009532045B807B55C07D19315816164240
497,290579,LVTNTNXA,HCPM-GNIS,0101000000A8D8E264AC5455C0FC74971F13314240
498,290562,MLTNTNXA,HCPM-GNIS,01010000004F458545A08B55C0AB23473A03F74140
499,290579,MOSSTNXA,HCPM-GNIS,01010000000257C38F7B6755C0F8F9EFC16B4B4240
500,290562,NORNTNXA,HCPM-GNIS,0101000000036674F6848F55C0F06888CF42074240
501,290573,OKGVTNXA,HCPM-GNIS,01010000004DB049C8519855C0C652245F09494240
502,290573,PLSHTNXA,HCPM-GNIS,0101000000A631B500C87C55C0496760E465304240
503,290579,RKMNTNXA,HCPM-GNIS,010100000096D123A1085855C0BC97569E9B214240
504,290573,WMLDTNXA,HCPM-GNIS,0101000000641D33F5DF8F55C0DF1EDF39EF474240
505,290562,WDBYTNXA,HCPM-GNIS,0101000000EF022505968455C0039FD5B8EDE94140
506,290562,ABTWTNXA,HCPM-GNIS,01010000004272D7B7388655C0BDB266BF49F94140
